"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"broken","Sat Oct 25 10:43:49 GMT 2025","Sat Oct 25 10:43:55 GMT 2025","5854","","State Storage Tests","","StateStorageTests","login","login","This test Logs into swag labs  
"
"passed","Sat Oct 25 10:43:50 GMT 2025","Sat Oct 25 10:43:50 GMT 2025","351","","Swag Labse Test Suite","","ExampleTest","login","login","This test Logs into swag labs  
"
"broken","Sat Oct 25 10:43:50 GMT 2025","Sat Oct 25 10:43:55 GMT 2025","5324","","Swag Labse Test Suite","","ExampleTest","loginFail","loginFail","This test Logs into swag labs  
"
"passed","Sat Oct 25 10:43:49 GMT 2025","Sat Oct 25 10:43:50 GMT 2025","863","","Swag Labse Test Suite","","ExampleTest","HasTitle","HasTitle","This test logs in and checks the url 
"
