"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"broken","Thu Oct 30 14:50:47 GMT 2025","Thu Oct 30 14:50:53 GMT 2025","5337","","Swag Labse Test Suite","","ExampleTest","loginFail","loginFail","This test Logs into swag labs  
"
"passed","Thu Oct 30 14:50:46 GMT 2025","Thu Oct 30 14:50:47 GMT 2025","866","","Swag Labse Test Suite","","ExampleTest","HasTitle","HasTitle","This test logs in and checks the url 
"
"broken","Thu Oct 30 14:50:46 GMT 2025","Thu Oct 30 14:50:52 GMT 2025","5890","","State Storage Tests","","StateStorageTests","login","login","This test Logs into swag labs  
"
"passed","Thu Oct 30 14:50:47 GMT 2025","Thu Oct 30 14:50:47 GMT 2025","372","","Swag Labse Test Suite","","ExampleTest","login","login","This test Logs into swag labs  
"
