"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"broken","Thu Oct 30 14:55:12 GMT 2025","Thu Oct 30 14:55:18 GMT 2025","5720","","State Storage Tests","","StateStorageTests","login","login","This test Logs into swag labs  
"
"passed","Thu Oct 30 14:55:13 GMT 2025","Thu Oct 30 14:55:14 GMT 2025","362","","Swag Labse Test Suite","","ExampleTest","login","login","This test Logs into swag labs  
"
"broken","Thu Oct 30 14:55:14 GMT 2025","Thu Oct 30 14:55:19 GMT 2025","5300","","Swag Labse Test Suite","","ExampleTest","loginFail","loginFail","This test Logs into swag labs  
"
"passed","Thu Oct 30 14:55:12 GMT 2025","Thu Oct 30 14:55:13 GMT 2025","717","","Swag Labse Test Suite","","ExampleTest","HasTitle","HasTitle","This test logs in and checks the url 
"
