"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"broken","Thu Oct 30 15:58:29 GMT 2025","Thu Oct 30 15:58:35 GMT 2025","5925","","State Storage Tests","","StateStorageTests","login","login","This test Logs into swag labs  
"
"passed","Thu Oct 30 15:58:30 GMT 2025","Thu Oct 30 15:58:30 GMT 2025","414","","Swag Labse Test Suite","","ExampleTest","login","login","This test Logs into swag labs  
"
"passed","Thu Oct 30 15:58:29 GMT 2025","Thu Oct 30 15:58:30 GMT 2025","872","","Swag Labse Test Suite","","ExampleTest","HasTitle","HasTitle","This test logs in and checks the url 
"
"broken","Thu Oct 30 15:58:30 GMT 2025","Thu Oct 30 15:58:36 GMT 2025","5412","","Swag Labse Test Suite","","ExampleTest","loginFail","loginFail","This test Logs into swag labs  
"
