"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu Oct 30 15:11:48 GMT 2025","Thu Oct 30 15:11:49 GMT 2025","847","","Swag Labse Test Suite","","ExampleTest","HasTitle","HasTitle","This test logs in and checks the url 
"
"passed","Thu Oct 30 15:11:49 GMT 2025","Thu Oct 30 15:11:50 GMT 2025","339","","Swag Labse Test Suite","","ExampleTest","login","login","This test Logs into swag labs  
"
"broken","Thu Oct 30 15:11:50 GMT 2025","Thu Oct 30 15:11:55 GMT 2025","5286","","Swag Labse Test Suite","","ExampleTest","loginFail","loginFail","This test Logs into swag labs  
"
"broken","Thu Oct 30 15:11:48 GMT 2025","Thu Oct 30 15:11:54 GMT 2025","5851","","State Storage Tests","","StateStorageTests","login","login","This test Logs into swag labs  
"
