"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sat Oct 25 10:31:50 GMT 2025","Sat Oct 25 10:31:50 GMT 2025","358","","Swag Labse Test Suite","","ExampleTest","login","login","This test Logs into swag labs  
"
"broken","Sat Oct 25 10:31:50 GMT 2025","Sat Oct 25 10:31:55 GMT 2025","5299","","Swag Labse Test Suite","","ExampleTest","loginFail","loginFail","This test Logs into swag labs  
"
"broken","Sat Oct 25 10:31:49 GMT 2025","Sat Oct 25 10:31:55 GMT 2025","5829","","State Storage Tests","","StateStorageTests","login","login","This test Logs into swag labs  
"
"passed","Sat Oct 25 10:31:49 GMT 2025","Sat Oct 25 10:31:50 GMT 2025","798","","Swag Labse Test Suite","","ExampleTest","HasTitle","HasTitle","This test logs in and checks the url 
"
