"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"broken","Mon Oct 27 20:52:38 GMT 2025","Mon Oct 27 20:52:44 GMT 2025","5315","","Swag Labse Test Suite","","ExampleTest","loginFail","loginFail","This test Logs into swag labs  
"
"passed","Mon Oct 27 20:52:37 GMT 2025","Mon Oct 27 20:52:38 GMT 2025","836","","Swag Labse Test Suite","","ExampleTest","HasTitle","HasTitle","This test logs in and checks the url 
"
"broken","Mon Oct 27 20:52:37 GMT 2025","Mon Oct 27 20:52:43 GMT 2025","5929","","State Storage Tests","","StateStorageTests","login","login","This test Logs into swag labs  
"
"passed","Mon Oct 27 20:52:38 GMT 2025","Mon Oct 27 20:52:38 GMT 2025","372","","Swag Labse Test Suite","","ExampleTest","login","login","This test Logs into swag labs  
"
